buying_sight,buying_transfer,currency_id,currency_name_eng,mid_rate,period,selling
35.6593000,35.7543000,USD,USA : DOLLAR (USD) ,35.9155000,2024-02-09,36.0766000
44.7691000,44.9078000,GBP,UNITED KINGDOM : POUND STERING (GBP),45.3278000,2024-02-09,45.7478000
38.2287000,38.3343000,EUR,EURO ZONE : EURO (EUR),38.6946000,2024-02-09,39.0549000
23.6340000,23.7366000,JPY,JAPAN : YEN (100 YEN) (JPY) ,24.0701000,2024-02-09,24.4036000
4.5360000,4.5529000,HKD,HONG KONG : DOLLAR (HKD),4.5934000,2024-02-09,4.6338000
7.3853000,7.4207000,MYR,MALAYSIA : RINGGIT (MYR),7.5233000,2024-02-09,7.6258000
26.3154000,26.3906000,SGD,SINGAPORE : DOLLAR (SGD),26.6807000,2024-02-09,26.9707000
26.2161000,26.3061000,BND,BRUNEI : DOLLAR (BND) ,26.6823000,2024-02-09,27.0584000
0.6156000,0.6192000,PHP,PHILIPPINES : PESO (PHP) ,0.6410000,2024-02-09,0.6627000
2.1515000,2.2134000,IDR,"INDONESIA : RUPIAH (1,000 RUPIAH) (IDR)",2.3077000,2024-02-09,2.4019000
0.4083000,0.4090000,INR,INDIA : RUPEE (INR),0.4361000,2024-02-09,0.4631000
40.6455000,40.7490000,CHF,SWITZERLAND : FRANC (CHF) ,41.0994000,2024-02-09,41.4497000
22.8503000,22.9180000,AUD,AUSTRALIA : DOLLAR (AUD) ,23.3213000,2024-02-09,23.7245000
21.6067000,21.6700000,NZD,NEW ZEALAND : DOLLAR (NZD),21.9870000,2024-02-09,22.3040000
,0.1280000,PKR,PAKISTAN : RUPEE (PKR),0.1286000,2024-02-09,0.1291000
26.3332000,26.4058000,CAD,CANADA : DOLLAR (CAD),26.6725000,2024-02-09,26.9392000
3.3798000,3.3937000,SEK,SWEDEN : KRONA (SEK),3.4289000,2024-02-09,3.4641000
5.1312000,5.1467000,DKK,DENMARK : KRONE (DKK) ,5.1933000,2024-02-09,5.2399000
3.3296000,3.3411000,NOK,NORWAY : KRONE (NOK),3.3789000,2024-02-09,3.4166000
4.8879000,4.9205000,CNY,CHINA : YUAN RENMINBI (CNY),4.9879000,2024-02-09,5.0553000
,2.0853000,MXN,MEXICO : PESO (MXN),2.0947000,2024-02-09,2.1041000
,1.8854000,ZAR,SOUTH AFRICA : RAND (ZAR),1.8939000,2024-02-09,1.9024000
,0.0170000,MMK,MYANMAR : KYAT (MMK) ,0.0171000,2024-02-09,0.0172000
,0.0268000,KRW,SOUTH KOREA : WON (KRW) ,0.0270000,2024-02-09,0.0271000
,1.1391000,TWD,TAIWAN : DOLLAR (TWD),1.1443000,2024-02-09,1.1494000
,116.0854000,KWD,KUWAIT : DINAR (KWD) ,116.6086000,2024-02-09,117.1318000
,9.5340000,SAR,SAUDI ARABIA : RIYAL (SAR),9.5770000,2024-02-09,9.6199000
,9.7349000,AED,UNITED ARAB EMIRATES : DIRHAM (AED),9.7788000,2024-02-09,9.8226000
,0.3258000,BDT,BANGLADESH : TAKA (BDT),0.3273000,2024-02-09,0.3287000
,1.5270000,CZK,CZECH REPUBLIC : KORUNA (CZK),1.5339000,2024-02-09,1.5407000
,0.0087650,KHR,CAMBODIA : RIEL(KHR) ,0.0088050,2024-02-09,0.0088440
,0.2228000,KES,KENYA : SHILLING (KES) ,0.2238000,2024-02-09,0.2248000
,0.0017160,LAK,LAO PEOPLE'S DEMOCRATIC REPUBLIC : KIP(LAK),0.0017240,2024-02-09,0.0017310
,0.3922000,RUB,RUSSIAN FEDERATION : RUBLE (RUB) ,0.3940000,2024-02-09,0.3957000
,0.0014640,VND,VIET NAM : DONG(VND) ,0.0014710,2024-02-09,0.0014770
,1.1571000,EGP,EGYPT : EGYPTIAN POUND (EGP) ,1.1623000,2024-02-09,1.1675000
,8.9072000,PLN,POLAND : ZLOTY (PLN) ,8.9474000,2024-02-09,8.9875000
,0.1142000,LKR,SRI LANKA : SRI LANKA RUPEE (LKR) ,0.1148000,2024-02-09,0.1153000
,0.0273000,IQD,IRAQ : IRAQI DINAR (IQD) ,0.0274000,2024-02-09,0.0275000
,94.8390000,BHD,BAHRAIN : BAHRAIN DINAR (BHD) ,95.2665000,2024-02-09,95.6939000
,92.8683000,OMR,OMAN : RIAL OMANI (OMR) ,93.2869000,2024-02-09,93.7055000
,50.4150000,JOD,JORDAN : JORDANIAN DINAR (JOD) ,50.6422000,2024-02-09,50.8694000
,9.8051000,QAR,QATAR : QATARI RIAL (QAR) ,9.8493000,2024-02-09,9.8935000
,2.3127000,MVR,MALDIVES : RUFIYAA (MVR) ,2.3231000,2024-02-09,2.3335000
,0.2694000,NPR,NEPAL : NEPALESE RUPEE (NPR) ,0.2706000,2024-02-09,0.2718000
,9.5392000,PGK,PAPUA NEW GUINEA : KINA (PGK) ,9.5822000,2024-02-09,9.6252000
,9.6814000,ILS,ISRAEL : NEW ISRAELI SHEKEL (ILS) ,9.7250000,2024-02-09,9.7686000
,0.0992000,HUF,HUNGARY : FORINT (HUF) ,0.0997000,2024-02-09,0.1001000
35.4459000,35.5397000,USD,USA : DOLLAR (USD) ,35.7031000,2024-02-08,35.8664000
44.5406000,44.6815000,GBP,UNITED KINGDOM : POUND STERING (GBP),45.1095000,2024-02-08,45.5374000
38.0050000,38.1063000,EUR,EURO ZONE : EURO (EUR),38.4758000,2024-02-08,38.8453000
23.6386000,23.7392000,JPY,JAPAN : YEN (100 YEN) (JPY) ,24.0835000,2024-02-08,24.4277000
4.5092000,4.5214000,HKD,HONG KONG : DOLLAR (HKD),4.5659000,2024-02-08,4.6104000
7.3573000,7.3965000,MYR,MALAYSIA : RINGGIT (MYR),7.4980000,2024-02-08,7.5995000
26.2147000,26.2898000,SGD,SINGAPORE : DOLLAR (SGD),26.5796000,2024-02-08,26.8693000
26.1313000,26.2213000,BND,BRUNEI : DOLLAR (BND) ,26.5976000,2024-02-08,26.9739000
0.6126000,0.6157000,PHP,PHILIPPINES : PESO (PHP) ,0.6367000,2024-02-08,0.6576000
2.1006000,2.1901000,IDR,"INDONESIA : RUPIAH (1,000 RUPIAH) (IDR)",2.2926000,2024-02-08,2.3950000
0.3937000,0.4015000,INR,INDIA : RUPEE (INR),0.4308000,2024-02-08,0.4601000
40.4328000,40.5378000,CHF,SWITZERLAND : FRANC (CHF) ,40.9016000,2024-02-08,41.2653000
22.8034000,22.8740000,AUD,AUSTRALIA : DOLLAR (AUD) ,23.2885000,2024-02-08,23.7029000
21.4397000,21.5048000,NZD,NEW ZEALAND : DOLLAR (NZD),21.8313000,2024-02-08,22.1577000
,0.1272000,PKR,PAKISTAN : RUPEE (PKR),0.1278000,2024-02-08,0.1284000
26.1713000,26.2500000,CAD,CANADA : DOLLAR (CAD),26.5315000,2024-02-08,26.8129000
3.3560000,3.3735000,SEK,SWEDEN : KRONA (SEK),3.4085000,2024-02-08,3.4435000
5.0991000,5.1153000,DKK,DENMARK : KRONE (DKK) ,5.1625000,2024-02-08,5.2096000
3.3216000,3.3344000,NOK,NORWAY : KRONE (NOK),3.3725000,2024-02-08,3.4106000
4.8588000,4.8931000,CNY,CHINA : YUAN RENMINBI (CNY),4.9623000,2024-02-08,5.0315000
,2.0848000,MXN,MEXICO : PESO (MXN),2.0944000,2024-02-08,2.1040000
,1.8810000,ZAR,SOUTH AFRICA : RAND (ZAR),1.8897000,2024-02-08,1.8983000
,0.0169000,MMK,MYANMAR : KYAT (MMK) ,0.0170000,2024-02-08,0.0171000
,0.0267000,KRW,SOUTH KOREA : WON (KRW) ,0.0269000,2024-02-08,0.0270000
,1.1320000,TWD,TAIWAN : DOLLAR (TWD),1.1372000,2024-02-08,1.1424000
,115.4261000,KWD,KUWAIT : DINAR (KWD) ,115.9567000,2024-02-08,116.4872000
,9.4765000,SAR,SAUDI ARABIA : RIYAL (SAR),9.5201000,2024-02-08,9.5636000
,9.6759000,AED,UNITED ARAB EMIRATES : DIRHAM (AED),9.7204000,2024-02-08,9.7649000
,0.3238000,BDT,BANGLADESH : TAKA (BDT),0.3253000,2024-02-08,0.3268000
,1.5338000,CZK,CZECH REPUBLIC : KORUNA (CZK),1.5409000,2024-02-08,1.5479000
,0.0087110,KHR,CAMBODIA : RIEL(KHR) ,0.0087510,2024-02-08,0.0087910
,0.2214000,KES,KENYA : SHILLING (KES) ,0.2225000,2024-02-08,0.2235000
,0.0017060,LAK,LAO PEOPLE'S DEMOCRATIC REPUBLIC : KIP(LAK),0.0017140,2024-02-08,0.0017220
,0.3880000,RUB,RUSSIAN FEDERATION : RUBLE (RUB) ,0.3898000,2024-02-08,0.3916000
,0.0014550,VND,VIET NAM : DONG(VND) ,0.0014620,2024-02-08,0.0014680
,1.1502000,EGP,EGYPT : EGYPTIAN POUND (EGP) ,1.1555000,2024-02-08,1.1607000
,8.8153000,PLN,POLAND : ZLOTY (PLN) ,8.8558000,2024-02-08,8.8963000
,0.1135000,LKR,SRI LANKA : SRI LANKA RUPEE (LKR) ,0.1141000,2024-02-08,0.1146000
,0.0271000,IQD,IRAQ : IRAQI DINAR (IQD) ,0.0273000,2024-02-08,0.0274000
,94.2698000,BHD,BAHRAIN : BAHRAIN DINAR (BHD) ,94.7031000,2024-02-08,95.1363000
,92.3109000,OMR,OMAN : RIAL OMANI (OMR) ,92.7352000,2024-02-08,93.1595000
,50.1124000,JOD,JORDAN : JORDANIAN DINAR (JOD) ,50.3427000,2024-02-08,50.5730000
,9.7462000,QAR,QATAR : QATARI RIAL (QAR) ,9.7910000,2024-02-08,9.8358000
,2.2988000,MVR,MALDIVES : RUFIYAA (MVR) ,2.3094000,2024-02-08,2.3199000
,0.2677000,NPR,NEPAL : NEPALESE RUPEE (NPR) ,0.2690000,2024-02-08,0.2702000
,9.4855000,PGK,PAPUA NEW GUINEA : KINA (PGK) ,9.5291000,2024-02-08,9.5727000
,9.7239000,ILS,ISRAEL : NEW ISRAELI SHEKEL (ILS) ,9.7686000,2024-02-08,9.8132000
,0.0986000,HUF,HUNGARY : FORINT (HUF) ,0.0991000,2024-02-08,0.0995000
35.2772000,35.3663000,USD,USA : DOLLAR (USD) ,35.5297000,2024-02-07,35.6930000
44.2472000,44.3772000,GBP,UNITED KINGDOM : POUND STERING (GBP),44.8045000,2024-02-07,45.2317000
37.7579000,37.8566000,EUR,EURO ZONE : EURO (EUR),38.2259000,2024-02-07,38.5951000
23.5871000,23.6951000,JPY,JAPAN : YEN (100 YEN) (JPY) ,24.0442000,2024-02-07,24.3932000
4.4880000,4.5034000,HKD,HONG KONG : DOLLAR (HKD),4.5451000,2024-02-07,4.5867000
7.3191000,7.3589000,MYR,MALAYSIA : RINGGIT (MYR),7.4625000,2024-02-07,7.5661000
26.1055000,26.1761000,SGD,SINGAPORE : DOLLAR (SGD),26.4623000,2024-02-07,26.7484000
26.0034000,26.0934000,BND,BRUNEI : DOLLAR (BND) ,26.4719000,2024-02-07,26.8504000
0.6081000,0.6132000,PHP,PHILIPPINES : PESO (PHP) ,0.6319000,2024-02-07,0.6506000
2.0813000,2.1686000,IDR,"INDONESIA : RUPIAH (1,000 RUPIAH) (IDR)",2.2716000,2024-02-07,2.3746000
0.3943000,0.3974000,INR,INDIA : RUPEE (INR),0.4299000,2024-02-07,0.4623000
40.4019000,40.5000000,CHF,SWITZERLAND : FRANC (CHF) ,40.8554000,2024-02-07,41.2107000
22.7133000,22.7796000,AUD,AUSTRALIA : DOLLAR (AUD) ,23.1924000,2024-02-07,23.6051000
21.3068000,21.3685000,NZD,NEW ZEALAND : DOLLAR (NZD),21.6881000,2024-02-07,22.0076000
,0.1266000,PKR,PAKISTAN : RUPEE (PKR),0.1272000,2024-02-07,0.1277000
25.9964000,26.0733000,CAD,CANADA : DOLLAR (CAD),26.3477000,2024-02-07,26.6220000
3.3360000,3.3512000,SEK,SWEDEN : KRONA (SEK),3.3860000,2024-02-07,3.4208000
5.0655000,5.0820000,DKK,DENMARK : KRONE (DKK) ,5.1284000,2024-02-07,5.1748000
3.3050000,3.3174000,NOK,NORWAY : KRONE (NOK),3.3555000,2024-02-07,3.3935000
4.8397000,4.8741000,CNY,CHINA : YUAN RENMINBI (CNY),4.9439000,2024-02-07,5.0136000
,2.0759000,MXN,MEXICO : PESO (MXN),2.0855000,2024-02-07,2.0950000
,1.8774000,ZAR,SOUTH AFRICA : RAND (ZAR),1.8861000,2024-02-07,1.8948000
,0.0168000,MMK,MYANMAR : KYAT (MMK) ,0.0169000,2024-02-07,0.0170000
,0.0266000,KRW,SOUTH KOREA : WON (KRW) ,0.0268000,2024-02-07,0.0269000
,1.1299000,TWD,TAIWAN : DOLLAR (TWD),1.1352000,2024-02-07,1.1404000
,114.9003000,KWD,KUWAIT : DINAR (KWD) ,115.4310000,2024-02-07,115.9617000
,9.4305000,SAR,SAUDI ARABIA : RIYAL (SAR),9.4741000,2024-02-07,9.5176000
,9.6290000,AED,UNITED ARAB EMIRATES : DIRHAM (AED),9.6735000,2024-02-07,9.7179000
,0.3222000,BDT,BANGLADESH : TAKA (BDT),0.3237000,2024-02-07,0.3252000
,1.5259000,CZK,CZECH REPUBLIC : KORUNA (CZK),1.5330000,2024-02-07,1.5400000
,0.0086660,KHR,CAMBODIA : RIEL(KHR) ,0.0087060,2024-02-07,0.0087460
,0.2204000,KES,KENYA : SHILLING (KES) ,0.2214000,2024-02-07,0.2224000
,0.0016990,LAK,LAO PEOPLE'S DEMOCRATIC REPUBLIC : KIP(LAK),0.0017070,2024-02-07,0.0017150
,0.3907000,RUB,RUSSIAN FEDERATION : RUBLE (RUB) ,0.3925000,2024-02-07,0.3943000
,0.0014510,VND,VIET NAM : DONG(VND) ,0.0014580,2024-02-07,0.0014650
,1.1445000,EGP,EGYPT : EGYPTIAN POUND (EGP) ,1.1498000,2024-02-07,1.1551000
,8.7452000,PLN,POLAND : ZLOTY (PLN) ,8.7856000,2024-02-07,8.8259000
,0.1127000,LKR,SRI LANKA : SRI LANKA RUPEE (LKR) ,0.1133000,2024-02-07,0.1138000
,0.0270000,IQD,IRAQ : IRAQI DINAR (IQD) ,0.0271000,2024-02-07,0.0272000
,93.8098000,BHD,BAHRAIN : BAHRAIN DINAR (BHD) ,94.2431000,2024-02-07,94.6764000
,91.8605000,OMR,OMAN : RIAL OMANI (OMR) ,92.2848000,2024-02-07,92.7091000
,49.8679000,JOD,JORDAN : JORDANIAN DINAR (JOD) ,50.0982000,2024-02-07,50.3285000
,9.7014000,QAR,QATAR : QATARI RIAL (QAR) ,9.7462000,2024-02-07,9.7910000
,2.2876000,MVR,MALDIVES : RUFIYAA (MVR) ,2.2982000,2024-02-07,2.3087000
,0.2661000,NPR,NEPAL : NEPALESE RUPEE (NPR) ,0.2674000,2024-02-07,0.2686000
,9.4393000,PGK,PAPUA NEW GUINEA : KINA (PGK) ,9.4829000,2024-02-07,9.5265000
,9.7011000,ILS,ISRAEL : NEW ISRAELI SHEKEL (ILS) ,9.7459000,2024-02-07,9.7907000
,0.0985000,HUF,HUNGARY : FORINT (HUF) ,0.0990000,2024-02-07,0.0994000
35.4520000,35.5484000,USD,USA : DOLLAR (USD) ,35.7123000,2024-02-06,35.8761000
44.2571000,44.3916000,GBP,UNITED KINGDOM : POUND STERING (GBP),44.8190000,2024-02-06,45.2464000
37.9092000,38.0127000,EUR,EURO ZONE : EURO (EUR),38.3800000,2024-02-06,38.7473000
23.6156000,23.7183000,JPY,JAPAN : YEN (100 YEN) (JPY) ,24.0615000,2024-02-06,24.4047000
4.5100000,4.5260000,HKD,HONG KONG : DOLLAR (HKD),4.5689000,2024-02-06,4.6118000
7.3651000,7.3986000,MYR,MALAYSIA : RINGGIT (MYR),7.5019000,2024-02-06,7.6052000
26.1813000,26.2574000,SGD,SINGAPORE : DOLLAR (SGD),26.5487000,2024-02-06,26.8399000
26.0779000,26.1679000,BND,BRUNEI : DOLLAR (BND) ,26.5460000,2024-02-06,26.9241000
0.6083000,0.6120000,PHP,PHILIPPINES : PESO (PHP) ,0.6332000,2024-02-06,0.6543000
2.1263000,2.1797000,IDR,"INDONESIA : RUPIAH (1,000 RUPIAH) (IDR)",2.2770000,2024-02-06,2.3742000
0.4079000,0.4105000,INR,INDIA : RUPEE (INR),0.4355000,2024-02-06,0.4604000
40.5675000,40.6788000,CHF,SWITZERLAND : FRANC (CHF) ,41.0408000,2024-02-06,41.4028000
22.7305000,22.7985000,AUD,AUSTRALIA : DOLLAR (AUD) ,23.2100000,2024-02-06,23.6214000
21.2755000,21.3374000,NZD,NEW ZEALAND : DOLLAR (NZD),21.6608000,2024-02-06,21.9842000
,0.1283000,PKR,PAKISTAN : RUPEE (PKR),0.1289000,2024-02-06,0.1295000
26.0557000,26.1288000,CAD,CANADA : DOLLAR (CAD),26.4070000,2024-02-06,26.6852000
3.3229000,3.3371000,SEK,SWEDEN : KRONA (SEK),3.3726000,2024-02-06,3.4080000
5.0848000,5.1006000,DKK,DENMARK : KRONE (DKK) ,5.1488000,2024-02-06,5.1970000
3.2933000,3.3049000,NOK,NORWAY : KRONE (NOK),3.3437000,2024-02-06,3.3825000
4.8591000,4.8931000,CNY,CHINA : YUAN RENMINBI (CNY),4.9618000,2024-02-06,5.0304000
,2.0758000,MXN,MEXICO : PESO (MXN),2.0854000,2024-02-06,2.0950000
,1.8641000,ZAR,SOUTH AFRICA : RAND (ZAR),1.8727000,2024-02-06,1.8813000
